user,file_type,file_format,data_tier,application,data_stream,run_type,file_count,total_file_size_GB,total_event_count,detector.hv_value,artdaq-core.timestamp,artdaq-core.version,artdaq.timestamp,artdaq.version,dune-artdaq.timestamp,dune-artdaq.version,dune-raw-data.timestamp,dune-raw-data.version,dataset.tag,DUNE.campaign,DUNE.poms_campaign_id,DUNE.production_status,DUNE_MC.detector_type,DUNE_MC.electron_lifetime,DUNE_MC.with_cosmics,MC.with_cosmics,detector.hv_status,DUNE.requestid,DUNE.generators,DUNE_MC.beam_flux_ID,DUNE_MC.geometry_version,DUNE_MC.name,DUNE_MC.neutrino_flavors,DUNE_MC.TopVolume,LBNF_MC.HornCurrent,NearDetector_MC.OffAxisPosition,beam.momentum,beam.polarity,DUNE_MC.beam_energy,DUNE_MC.liquid_flow,DUNE_MC.space_charge,MC.liquid_flow,MC.space_charge,data_quality.online_good_run_list,DUNE_MC.generators,art.variation,DUNE.fcl_name,DUNE.fcl_path,DUNE.fcl_version_tag,info.cpusec,info.memory,info.physicsgroup,info.wallsec
dunepro,detector,artroot,full-reconstructed,"{'family': 'art', 'name': 'reco', 'version': 'v07_08_00_04'}",cosmics,protodune-sp,23312,217207,2674177,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dunepro,detector,artroot,full-reconstructed,"{'family': 'art', 'name': 'reco', 'version': 'v07_08_00_04'}",test,protodune-sp,10039,129956,2859655,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dunepro,detector,artroot,full-reconstructed,"{'family': 'art', 'name': 'reco', 'version': 'v07_08_00_04'}",test,protodune-sp,4205,77154,885392,180,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dunepro,detector,artroot,full-reconstructed,"{'family': 'art', 'name': 'reco', 'version': 'v07_08_00_04'}",cosmics,protodune-sp,4352,76056,590438,180,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dunepro,detector,artroot,full-reconstructed,"{'family': 'art', 'name': 'reco', 'version': 'v07_08_00_04'}",noise,protodune-sp,563,10004,75456,180,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dunepro,mc,artroot,full-reconstructed,"{'family': 'art', 'name': 'reco', 'version': 'v07_08_00_04'}",out1,physics,5,11,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dunepro,detector,artroot,full-reconstructed,"{'family': 'art', 'name': 'reco', 'version': 'v07_08_00_04'}",physics,protodune-sp,43744,763992,5764708,180,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dunepro,detector,unknown,raw,"{'family': 'art', 'name': 'dune-artdaq', 'version': 'v1_16_00b'}",test,protodune-sp,80785,359456,13054022,,12-Nov-2018-13:38:24-UTC,v3_04_02,12-Nov-2018-13:38:28-UTC,v3_03_00_gamma,12-Nov-2018-13:38:15-UTC,v1_16_00b,12-Nov-2018-13:38:13-UTC,v1_17_06a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dunepro,detector,unknown,raw,"{'family': 'art', 'name': 'dune-artdaq', 'version': 'v1_16_00b'}",test,protodune-sp,701,5257,108435,0,12-Nov-2018-13:38:24-UTC,v3_04_02,12-Nov-2018-13:38:28-UTC,v3_03_00_gamma,12-Nov-2018-13:38:15-UTC,v1_16_00b,12-Nov-2018-13:38:13-UTC,v1_17_06a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dunepro,detector,unknown,raw,"{'family': 'art', 'name': 'dune-artdaq', 'version': 'v1_16_00b'}",physics,protodune-sp,66544,531313,8257050,,12-Nov-2018-13:38:24-UTC,v3_04_02,12-Nov-2018-13:38:28-UTC,v3_03_00_gamma,12-Nov-2018-13:38:15-UTC,v1_16_00b,12-Nov-2018-13:38:13-UTC,v1_17_06a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dunepro,detector,unknown,raw,"{'family': 'art', 'name': 'dune-artdaq', 'version': 'v1_16_00b'}",test,protodune-sp,6957,49673,1289879,180,12-Nov-2018-13:38:24-UTC,v3_04_02,12-Nov-2018-13:38:28-UTC,v3_03_00_gamma,12-Nov-2018-13:38:15-UTC,v1_16_00b,12-Nov-2018-13:38:13-UTC,v1_17_06a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dunepro,detector,artroot,full-reconstructed,"{'family': 'art', 'name': 'reco', 'version': 'v08_03_00'}",noise,protodune-sp,1068,3634,142901,180,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dunepro,detector,artroot,full-reconstructed,"{'family': 'art', 'name': 'reco', 'version': 'v08_03_00'}",physics,protodune-sp,928,3019,124735,180,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dunepro,mc,artroot,simulated,"{'family': 'art', 'name': 'g4', 'version': 'v08_03_00'}",out1,physics,73705,26938,3687320,,,,,,,,,,poms_depends_435657_1,mcc11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dunepro,detector,unknown,raw,"{'family': 'art', 'name': 'dune-artdaq', 'version': 'v1_16_00b'}",cosmics,protodune-sp,162457,931719,15044924,,18-Jan-2019-15:04:13-UTC,v3_04_05-12-g07c4dc2,18-Jan-2019-15:04:16-UTC,merge_snapshot_15Nov18-64-gbd7a816,18-Jan-2019-15:04:06-UTC,v1_16_00b,18-Jan-2019-15:04:04-UTC,v1_17_06a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dunepro,detector,unknown,raw,"{'family': 'art', 'name': 'dune-artdaq', 'version': 'v1_16_00b'}",cosmics,protodune-sp,116373,634148,10766088,180,18-Jan-2019-15:04:13-UTC,v3_04_05-12-g07c4dc2,18-Jan-2019-15:04:16-UTC,merge_snapshot_15Nov18-64-gbd7a816,18-Jan-2019-15:04:06-UTC,v1_16_00b,18-Jan-2019-15:04:04-UTC,v1_17_06a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dunepro,detector,unknown,raw,"{'family': 'art', 'name': 'dune-artdaq', 'version': 'v1_16_00b'}",cosmics,protodune-sp,2198,18067,128326,144,18-Jan-2019-15:04:13-UTC,v3_04_05-12-g07c4dc2,18-Jan-2019-15:04:16-UTC,merge_snapshot_15Nov18-64-gbd7a816,18-Jan-2019-15:04:06-UTC,v1_16_00b,18-Jan-2019-15:04:04-UTC,v1_17_06a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dunepro,detector,unknown,raw,"{'family': 'art', 'name': 'dune-artdaq', 'version': 'v1_16_00b'}",cosmics,protodune-sp,2628,18719,164484,130,18-Jan-2019-15:04:13-UTC,v3_04_05-12-g07c4dc2,18-Jan-2019-15:04:16-UTC,merge_snapshot_15Nov18-64-gbd7a816,18-Jan-2019-15:04:06-UTC,v1_16_00b,18-Jan-2019-15:04:04-UTC,v1_17_06a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dunepro,detector,artroot,full-reconstructed,"{'family': 'art', 'name': 'reco', 'version': 'v07_08_00_05'}",physics,protodune-sp,6021,17936,646056,140,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dunepro,mc,artroot,detector-simulated,"{'family': 'art', 'name': 'detsim', 'version': 'v08_03_00'}",out1,physics,66444,21843,2729800,,,,,,,,,,poms_depends_438864_1,mcc11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dunepro,mc,artroot,full-reconstructed,"{'family': 'art', 'name': 'reco', 'version': 'development'}",out1,physics,28218,330959,9309210,,,,,,,,,,,mcc11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dunepro,detector,unknown,raw,"{'family': 'art', 'name': 'dune-artdaq', 'version': 'v1_16_00b'}",cosmics,protodune-sp,1681,13852,102837,38,18-Jan-2019-15:04:13-UTC,v3_04_05-12-g07c4dc2,18-Jan-2019-15:04:16-UTC,merge_snapshot_15Nov18-64-gbd7a816,18-Jan-2019-15:04:06-UTC,v1_16_00b,18-Jan-2019-15:04:04-UTC,v1_17_06a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dunepro,detector,unknown,raw,"{'family': 'art', 'name': 'dune-artdaq', 'version': 'v1_16_00b'}",cosmics,protodune-sp,1978,16297,119397,77,18-Jan-2019-15:04:13-UTC,v3_04_05-12-g07c4dc2,18-Jan-2019-15:04:16-UTC,merge_snapshot_15Nov18-64-gbd7a816,18-Jan-2019-15:04:06-UTC,v1_16_00b,18-Jan-2019-15:04:04-UTC,v1_17_06a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dunepro,detector,unknown,raw,"{'family': 'art', 'name': 'dune-artdaq', 'version': 'v1_16_00b'}",calibration,protodune-sp,40503,82620,30250879,,31-Jan-2019-09:35:58-UTC,pdune_11Jan2019,31-Jan-2019-09:36:01-UTC,pdune_11Jan2019,31-Jan-2019-09:35:51-UTC,v1_16_00b,31-Jan-2019-09:35:49-UTC,v1_17_06a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dunepro,detector,artroot,full-reconstructed,"{'family': 'art', 'name': 'reco', 'version': 'v07_08_00_05'}",physics,protodune-sp,920,2552,97289,150,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dunepro,detector,artroot,full-reconstructed,"{'family': 'art', 'name': 'reco', 'version': 'v07_08_00_05'}",physics,protodune-sp,1639,4198,174810,160,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dunepro,detector,artroot,full-reconstructed,"{'family': 'art', 'name': 'reco', 'version': 'v07_08_00_05'}",physics,protodune-sp,836,2250,88060,130,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dunepro,detector,artroot,full-reconstructed,"{'family': 'art', 'name': 'reco', 'version': 'v07_08_00_05'}",physics,protodune-sp,201,503,20397,175,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dunepro,mc,artroot,full-reconstructed,"{'family': 'art', 'name': 'reco', 'version': 'v08_03_00'}",out1,physics,373729,43512,5679970,,,,,,,,,,,mcc11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dunepro,detector,artroot,full-reconstructed,"{'family': 'art', 'name': 'reco', 'version': 'v07_08_00_05'}",cosmics,protodune-sp,125132,210647,11314833,180,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dunepro,detector,artroot,full-reconstructed,"{'family': 'art', 'name': 'reco', 'version': 'v07_08_00_05'}",cosmics,protodune-sp,84,13,3318,140,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dunepro,detector,unknown,raw,"{'family': 'art', 'name': 'dune-artdaq', 'version': 'v1_16_00b'}",calibration,protodune-sp,4337,14306,2497388,180,12-Feb-2019-09:12:57-UTC,pdune_11Jan2019,12-Feb-2019-09:13:00-UTC,pdune_11Jan2019,12-Feb-2019-09:12:50-UTC,v1_16_00b,12-Feb-2019-09:12:48-UTC,v1_17_06a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dunepro,detector,artroot,full-reconstructed,"{'family': 'art', 'name': 'reco', 'version': 'v07_08_00_05'}",cosmics,protodune-sp,325,4865,16141,126,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dunepro,detector,artroot,full-reconstructed,"{'family': 'art', 'name': 'reco', 'version': 'v07_08_00_05'}",cosmics,protodune-sp,627,9401,30780,162,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dunepro,detector,artroot,full-reconstructed,"{'family': 'art', 'name': 'reco', 'version': 'v07_08_00_05'}",cosmics,protodune-sp,317,4705,15742,108,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dunepro,detector,artroot,full-reconstructed,"{'family': 'art', 'name': 'reco', 'version': 'v07_08_00_05'}",cosmics,protodune-sp,405,4541,19281,90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dunepro,unknown,artroot,full-reconstructed,"{'family': 'art', 'name': 'larsoft', 'version': 'v07_11_00'}",,,1999,20274,199900,,,,,,,,,,,mcc11,2724,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dunepro,detector,artroot,full-reconstructed,"{'family': 'art', 'name': 'reco', 'version': 'v07_08_00_05'}",cosmics,protodune-sp,317,4519,15803,72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dunepro,detector,artroot,full-reconstructed,"{'family': 'art', 'name': 'reco', 'version': 'v07_08_00_05'}",cosmics,protodune-sp,4299,5912,160664,130,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dunepro,detector,artroot,full-reconstructed,"{'family': 'art', 'name': 'reco', 'version': 'v07_08_00_05'}",cosmics,protodune-sp,314,4220,15422,54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dunepro,detector,artroot,full-reconstructed,"{'family': 'art', 'name': 'reco', 'version': 'v07_08_00_05'}",cosmics,protodune-sp,3827,1763,101915,38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dunepro,detector,artroot,full-reconstructed,"{'family': 'art', 'name': 'reco', 'version': 'v07_08_00_05'}",cosmics,protodune-sp,3406,9357,126061,144,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dunepro,mc,artroot,simulated,"{'family': 'art', 'name': 'g4', 'version': 'v07_04_00'}",,physics,26765,37957,364590,,,,,,,,,,,MCC11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dunepro,mc,artroot,detector-simulated,"{'family': 'art', 'name': 'detsim', 'version': 'v07_04_00'}",,physics,26506,53430,264790,,,,,,,,,,,MCC11,,final,protoDUNE SP,3ms,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
dunepro,detector,unknown,raw,"{'family': 'art', 'name': 'dune-artdaq', 'version': 'v1_16_00b'}",cosmics,protodune-sp,701,5164,83715,0,05-Mar-2019-18:15:10-UTC,pdune_20190222,05-Mar-2019-18:15:14-UTC,pdune_20190222,05-Mar-2019-18:15:01-UTC,v1_16_00b,05-Mar-2019-18:14:58-UTC,v1_17_06a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dunepro,detector,artroot,full-reconstructed,"{'family': 'art', 'name': 'reco', 'version': 'v07_08_00_05'}",cosmics,protodune-sp,699,996,178860,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dunepro,detector,artroot,full-reconstructed,"{'family': 'art', 'name': 'reco', 'version': 'v07_08_00_05'}",cosmics,protodune-sp,317,3535,15633,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dunepro,mc,artroot,full-reconstructed,"{'family': 'art', 'name': 'reco', 'version': 'v07_07_00_01'}",,physics,65040,155818,650130,,,,,,,,,,,MCC11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dunepro,detector,artroot,full-reconstructed,"{'family': 'art', 'name': 'reco', 'version': 'v07_08_00_05'}",cosmics,protodune-sp,307,3863,15275,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dunepro,mc,artroot,detector-simulated,"{'family': 'art', 'name': 'detsim', 'version': 'v08_07_00'}",out1,physics,3066,75,306600,,,,,,,,,,poms_depends_457089_1,mcc11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dunepro,detector,unknown,raw,"{'family': 'art', 'name': 'dune-artdaq', 'version': 'v1_16_00b'}",test,protodune-sp,830,3373,66359,120,14-Mar-2019-20:29:08-UTC,pdune_20190312,14-Mar-2019-20:29:12-UTC,pdune_20190313b,14-Mar-2019-20:29:00-UTC,v1_16_00b,14-Mar-2019-20:28:57-UTC,v1_17_06a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dunepro,detector,unknown,raw,"{'family': 'art', 'name': 'dune-artdaq', 'version': 'v1_16_00b'}",calibration,protodune-sp,2756,15144,449057,0,12-Nov-2018-13:38:24-UTC,v3_04_02,12-Nov-2018-13:38:28-UTC,v3_03_00_gamma,12-Nov-2018-13:38:15-UTC,v1_16_00b,12-Nov-2018-13:38:13-UTC,v1_17_06a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dunepro,detector,unknown,raw,"{'family': 'art', 'name': 'dune-artdaq', 'version': 'v1_16_00b'}",calibration,protodune-sp,407,471,401101,170,14-Mar-2019-20:29:08-UTC,pdune_20190312,14-Mar-2019-20:29:12-UTC,pdune_20190313b,14-Mar-2019-20:29:00-UTC,v1_16_00b,14-Mar-2019-20:28:57-UTC,v1_17_06a,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
dunepro,detector,unknown,raw,"{'family': 'art', 'name': 'dune-artdaq', 'version': 'v1_16_00b'}",cosmics,protodune-sp,433,1763,31372,160,14-Mar-2019-20:29:08-UTC,pdune_20190312,14-Mar-2019-20:29:12-UTC,pdune_20190313b,14-Mar-2019-20:29:00-UTC,v1_16_00b,14-Mar-2019-20:28:57-UTC,v1_17_06a,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
dunepro,detector,unknown,raw,"{'family': 'art', 'name': 'dune-artdaq', 'version': 'v1_16_00b'}",cosmics,protodune-sp,510,3295,25987,90,14-Mar-2019-20:29:08-UTC,pdune_20190312,14-Mar-2019-20:29:12-UTC,pdune_20190313b,14-Mar-2019-20:29:00-UTC,v1_16_00b,14-Mar-2019-20:28:57-UTC,v1_17_06a,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
dunepro,mc,artroot,full-reconstructed,"{'family': 'art', 'name': 'reco', 'version': 'v08_07_00'}",out1,physics,3032,182,303200,,,,,,,,,,,mcc11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dunepro,mc,artroot,full-reconstructed,"{'family': 'art', 'name': 'reco', 'version': 'v08_07_00'}",out1,physics,1026,92,102600,,,,,,,,,,,mcc11,,,,,,,,RITM0720289,,,,,,,,,,,,,,,,,,,,,,,,,
dunepro,detector,unknown,raw,"{'family': 'art', 'name': 'dune-artdaq', 'version': 'v1_16_00b'}",calibration,protodune-sp,531,2171,35168,135,14-Mar-2019-20:29:08-UTC,pdune_20190312,14-Mar-2019-20:29:12-UTC,pdune_20190313b,14-Mar-2019-20:29:00-UTC,v1_16_00b,14-Mar-2019-20:28:57-UTC,v1_17_06a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dunepro,detector,unknown,raw,"{'family': 'art', 'name': 'dune-artdaq', 'version': 'v1_16_00b'}",calibration,protodune-sp,152,595,9669,90,14-Mar-2019-20:29:08-UTC,pdune_20190312,14-Mar-2019-20:29:12-UTC,pdune_20190313b,14-Mar-2019-20:29:00-UTC,v1_16_00b,14-Mar-2019-20:28:57-UTC,v1_17_06a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dunepro,detector,unknown,raw,"{'family': 'art', 'name': 'dune-artdaq', 'version': 'v1_16_00b'}",cosmics,protodune-sp,380,1486,24155,45,14-Mar-2019-20:29:08-UTC,pdune_20190312,14-Mar-2019-20:29:12-UTC,pdune_20190313b,14-Mar-2019-20:29:00-UTC,v1_16_00b,14-Mar-2019-20:28:57-UTC,v1_17_06a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dunepro,detector,unknown,raw,"{'family': 'art', 'name': 'dune-artdaq', 'version': 'v1_16_00b'}",calibration,protodune-sp,252,1003,15534,18,14-Mar-2019-20:29:08-UTC,pdune_20190312,14-Mar-2019-20:29:12-UTC,pdune_20190313b,14-Mar-2019-20:29:00-UTC,v1_16_00b,14-Mar-2019-20:28:57-UTC,v1_17_06a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dunepro,detector,unknown,raw,"{'family': 'art', 'name': 'dune-artdaq', 'version': 'v1_16_00b'}",cosmics,protodune-sp,519,3646,28345,135,14-Mar-2019-20:29:08-UTC,pdune_20190312,14-Mar-2019-20:29:12-UTC,pdune_20190313b,14-Mar-2019-20:29:00-UTC,v1_16_00b,14-Mar-2019-20:28:57-UTC,v1_17_06a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dunepro,detector,artroot,full-reconstructed,"{'family': 'art', 'name': 'reco', 'version': 'v07_08_00_05'}",cosmics,protodune-sp,340,220,21687,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dunepro,detector,artroot,full-reconstructed,"{'family': 'art', 'name': 'reco', 'version': 'v07_08_00_05'}",cosmics,protodune-sp,483,679,34171,160,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dunepro,detector,unknown,raw,"{'family': 'art', 'name': 'dune-artdaq', 'version': 'v2019_11_25_develop_fixed_crtgen'}",test,protodune-sp,36705,144780,2976321,,18-Jul-2019-01:37:59-UTC,v2019_07_17_protoDFO_testing,13-Nov-2019-20:58:24-UTC,v2019_11_13_dune_artdaq_October2019,25-Nov-2019-17:09:41-UTC,v2019_11_25_develop_fixed_crtgen,25-Nov-2019-17:09:37-UTC,v2019_08_29_for_dune-artdaq_self_trigger_and_felix,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dunepro,mc,artroot,full-reconstructed,"{'family': 'art', 'name': 'garsoft', 'version': 'v02_04_00'}",,neardet,32,39,9600,,,,,,,,,,,trj_mpd_dec2019,,,,,,,,,GENIE,1,MPD_ECalOctagon_60l_UniformMagnet.gdml,nue_dec2019_mpd_tpc_g4lbne_v3r2p4b_FHC_ND_RIK,"12, -12",volGArTPC,300.0,0.0,,,,,,,,,,,,,,,,,
dunepro,detector,unknown,raw,"{'family': 'art', 'name': 'dune-artdaq', 'version': 'v2019_11_25_develop_fixed_crtgen'}",cosmics,protodune-sp,204977,831925,22411160,,18-Jul-2019-01:37:59-UTC,v2019_07_17_protoDFO_testing,13-Nov-2019-20:58:24-UTC,v2019_11_13_dune_artdaq_October2019,25-Nov-2019-17:09:41-UTC,v2019_11_25_develop_fixed_crtgen,25-Nov-2019-17:09:37-UTC,v2019_08_29_for_dune-artdaq_self_trigger_and_felix,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dunepro,detector,unknown,raw,"{'family': 'art', 'name': 'dune-artdaq', 'version': 'v2019_11_25_develop_fixed_crtgen'}",cosmics,protodune-sp,62804,260111,2087409,180,18-Jul-2019-01:37:59-UTC,v2019_07_17_protoDFO_testing,13-Nov-2019-20:58:24-UTC,v2019_11_13_dune_artdaq_October2019,25-Nov-2019-17:09:41-UTC,v2019_11_25_develop_fixed_crtgen,25-Nov-2019-17:09:37-UTC,v2019_08_29_for_dune-artdaq_self_trigger_and_felix,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dunepro,mc,artroot,full-reconstructed,"{'family': 'art', 'name': 'reco', 'version': 'v08_35_00'}",out1,fardet-sp,126054,19329,3151350,,,,,,,,,,,NERSCtest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dunepro,detector,artroot,full-reconstructed,"{'family': 'art', 'name': 'reco', 'version': 'v08_27_01_01'}",cosmics,protodune-sp,54248,39539,1897400,180,,,,,,,,,,keepup_v08_27_01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
